Price,Address,Bedrooms,Baths,Area
225000,"Apartment 25 Burnell Square, Malahide Road, Northern Cross",2,2,
285000,"11 Willow Wood Walk, Hartstown, Hartstown, Dublin 15",3,1,110
449000,"31 Oak Avenue, Royal Oak, Santry, Dublin 9",4,3,
325000,"Apartment 18, Mountbrook, Blackrock, Co. Dublin",1,1,50
275000,"10 Homelawn Road, Tallaght, Dublin 24",3,1,80
1500000,"17 Hermitage Close, Rathfarnham, Dublin 16",4,3,208
795000,"33 Linden Grove, Blackrock, Co. Dublin",4,2,144
450000,"53 Ashington Gardens, Ashington, Navan Road, Dublin 7",3,1,102
695000,"41 Seafield Crescent, Booterstown, Co. Dublin",3,2,128
395000,"Apt. 20 Dundrum Gate Dundrum Dublin 16, Dundrum, Dublin 16",2,2,62
495000,"11 Riverwood Dale, Castleknock, Dublin 15",3,3,138
375000,"6 Brookfield Road, Kilmainham, Dublin 8",2,1,91
995000,"2 Louvain Glade, Ardliea, Clonskeagh, Dublin 14",3,3,170
595000,"22 Brookwood Park, Artane, Dublin 5",3,1,102
525000,"18 Foxfield Grove, Blackbanks, Raheny, Dublin 5",3,2,115
395000,"22 Finsbury Green, Churchtown Road Upper, D14TN97, Churchtown, Dublin 14",2,1,62
325000,"180 Clifden Court, Ellis Quay, Dublin 7",2,1,51
335000,"12B Rathborne Close, Ashtown, Dublin 15",2,2,86
300000,"110 Bertram Court, Christchurch, Lamb Alley, Dublin 8",2,1,59
260000,"21 Corduff Place, Blanchardstown, Dublin 15",3,1,81
199000,"12 Enaville Avenue, North Strand, Dublin 3",1,1,35
500000,"10 Castleknock Drive, Laurel Lodge, Castleknock, Dublin 15",4,2,107
545000,"10 Beverly Lawns, Knocklyon, Knocklyon, Dublin 16",3,3,115
895000,"1 Town Houses, Terenure Road East, Terenure, Dublin 6",5,4,177
795000,"8 Hawthorn Manor, Blackrock, Co. Dublin",4,3,125
285000,"26 Brian Boru Avenue, Clontarf, Clontarf, Dublin 3",1,1,32
295000,"5 Beresford House, Custom House Square, IFSC, Dublin 1",1,1,42
